Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:27:36.121-0500, Frequency : 902750, Phase : 95
Background Read: EPC:E2009366C6B60E319071BC38 ant:2 count:1 time:2018-03-15T12:27:36.160-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60E319071BC38 ant:3 count:1 time:2018-03-15T12:27:36.198-0500, Frequency : 902750, Phase : 115
Background Read: EPC:E2009366C6B60E319071BC38 ant:4 count:1 time:2018-03-15T12:27:36.233-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:27:36.270-0500, Frequency : 902750, Phase : 90
Background Read: EPC:E2009366C6B60E319071BC38 ant:2 count:1 time:2018-03-15T12:27:36.305-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60E319071BC38 ant:3 count:1 time:2018-03-15T12:27:36.342-0500, Frequency : 902750, Phase : 115
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:27:36.378-0500, Frequency : 902750, Phase : 90
Background Read: EPC:E2009366C6B60E319071BC38 ant:2 count:1 time:2018-03-15T12:27:36.417-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60E319071BC38 ant:3 count:1 time:2018-03-15T12:27:36.454-0500, Frequency : 902750, Phase : 112
Background Read: EPC:E2009366C6B60E319071BC38 ant:4 count:1 time:2018-03-15T12:27:36.489-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:27:36.525-0500, Frequency : 902750, Phase : 90
Background Read: EPC:E2009366C6B60E319071BC38 ant:2 count:1 time:2018-03-15T12:27:36.562-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60E319071BC38 ant:3 count:1 time:2018-03-15T12:27:36.600-0500, Frequency : 902750, Phase : 115
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:27:36.639-0500, Frequency : 902750, Phase : 95
Background Read: EPC:E2009366C6B60E319071BC38 ant:2 count:1 time:2018-03-15T12:27:36.674-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60E319071BC38 ant:3 count:1 time:2018-03-15T12:27:36.711-0500, Frequency : 902750, Phase : 106
Background Read: EPC:E2009366C6B60E319071BC38 ant:4 count:1 time:2018-03-15T12:27:36.746-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:27:36.783-0500, Frequency : 902750, Phase : 87
