Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.828-0500, Frequency : 902750, Phase : 168
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.860-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.866-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.898-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.903-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.937-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.941-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.975-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:26.979-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:26.999-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.003-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.037-0500, Frequency : 902750, Phase : 165
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.042-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.079-0500, Frequency : 902750, Phase : 168
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.083-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.122-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.127-0500, Frequency : 902750, Phase : 168
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.167-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.172-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.204-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.208-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.249-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.254-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.288-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.293-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.325-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.330-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.374-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.378-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.411-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.415-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.449-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.454-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.486-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.521-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.526-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.561-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.566-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.601-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.605-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.639-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.643-0500, Frequency : 902750, Phase : 168
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.675-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.680-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.714-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.719-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.761-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.766-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.800-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.805-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.844-0500, Frequency : 902750, Phase : 168
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.848-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.882-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.886-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.919-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.924-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:27.956-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.961-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:27.995-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.009-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.014-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.049-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.053-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.085-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.091-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.123-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.128-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.162-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.167-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.206-0500, Frequency : 902750, Phase : 171
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.210-0500, Frequency : 902750, Phase : 64
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.248-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.271-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.275-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.318-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.322-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.356-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.360-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.399-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.405-0500, Frequency : 902750, Phase : 78
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.438-0500, Frequency : 902750, Phase : 0
